Object                                   Vmag   Distance_Mpc
NGC7135                               12.1910     3.8142e+01
PGC3222301                            17.6300     2.5633e+02
WINGSJ214628.01-435043.5              19.1300     2.6705e+02
ESO286-019                            14.7900     1.8604e+02
WINGSJ214547.60-433836.1              19.5900     6.8707e+02
WINGSJ222658.96-304754.0              20.0300     1.1657e+02
PGC543421                             16.8200     2.8314e+02
WINGSJ214618.77-434855.0              19.7900     6.4003e+02
PGC3222368                            18.2700     7.6419e+02
PGC2800238                            17.0100     2.7365e+02
PGC3225639                            18.1100     2.6497e+02
PGC3222307                            18.4400     2.5038e+02
WINGSJ222756.10-303327.2              20.0300     2.6829e+02
WINGSJ214630.43-434201.8              19.1100     9.9174e+02
WINGSJ214658.61-435836.2              18.6300     2.5305e+02
WINGSJ222711.10-303410.8              19.7700     2.6693e+02
NGC7130                               12.7220     6.9438e+01
WINGSJ214547.73-435625.6              19.1800     1.6611e+03
WINGSJ214824.11-440419.4              19.2900     1.5783e+03
WINGSJ222744.25-301738.3              19.6000     1.2671e+03
WINGSJ222736.12-303603.4              19.1300     7.2210e+02
WINGSJ214539.90-434809.1              20.0200     1.5668e+03
WINGSJ214533.50-434748.3              18.7900     2.7900e+02
WINGSJ214650.43-434449.5              18.9900     2.6230e+02
PGC141685                             16.4400     2.1627e+02
WINGSJ214622.31-434407.3              18.5700     8.5625e+02
WINGSJ214535.69-435205.5              19.8200     1.3970e+03
PGC542871                             16.7400     2.6829e+02
WINGSJ222718.51-304743.8              19.5000     9.9586e+02
IC5007                                12.5480     3.8726e+01
NGC7097                               11.6990     3.5810e+01
WINGSJ222831.90-302015.2              19.2600     2.5966e+02
PGC087442                             15.9000     2.8236e+02
WINGSJ214553.55-435221.1              20.0700     1.1434e+03
WINGSJ222840.08-303121.9              19.5900     1.1112e+03
WINGSJ214538.46-434948.1              18.9100     1.3970e+03
NGC7173                               11.9850     3.5221e+01
WINGSJ222653.95-304708.7              19.3300     1.2073e+03
PGC3225641                            18.0400     2.6170e+02
WINGSJ222807.17-302652.5              19.9500     1.6121e+03
NGC7079                               11.6550     3.6392e+01
IC5186                                11.9290     7.0016e+01
WINGSJ214722.58-435237.5              19.5000     2.7708e+02
WINGSJ214822.80-433847.9              18.3400     2.7631e+02
WINGSJ214757.29-435546.9              19.6000     2.7302e+02
WINGSJ214702.29-435047.7              18.7500     2.6767e+02
PGC542849                             16.9900     2.8236e+02
PGC141689                             16.6700     2.5894e+02
WINGSJ214758.57-440039.2              19.0100     8.5349e+02
WINGSJ214622.98-435413.5              17.4200     2.6497e+02
WINGSJ214725.64-435118.1              19.0600     2.7772e+02
WINGSJ214809.33-440704.8              18.1700     8.7660e+02
WINGSJ214615.55-434136.3              19.2000     1.2061e+03
WINGSJ214646.08-440611.2              19.1300     7.5544e+02
WINGSJ214644.32-435002.4              19.3600     2.7164e+02
PGC3222338                            18.6700     2.6170e+02
WINGSJ214555.68-433840.6              19.6100     6.9695e+02
PGC544176                             18.2100     2.2408e+02
WINGSJ222800.60-301804.4              19.7000     7.6243e+02
PGC3225624                            18.3900     6.8865e+02
WINGSJ222805.29-302411.9              19.9800     1.0780e+03
WINGSJ222717.20-303624.9              19.5700     2.4774e+02
PGC141699                             17.9200     2.3324e+02
PGC3222315                            18.3100     2.5038e+02
WINGSJ214745.99-435852.8              19.4800     2.5966e+02
WINGSJ214635.56-435150.5              19.7600     2.7708e+02
PGC3222322                            19.0200     2.2867e+02
PGC718680                             16.9400     2.5504e+02
PGC541862                             16.1600     2.8236e+02
WINGSJ214755.50-434805.8              18.6900     6.7733e+02
PGC3222341                            17.7100     2.4581e+02
WINGSJ222729.59-304012.5              19.2400     5.2918e+02
WINGSJ214747.34-440502.0              19.8900     1.3772e+03
PGC541832                             16.4700     2.8445e+02
WINGSJ214533.99-440641.3              18.1500     2.8249e+02
WINGSJ214707.62-434040.5              19.0600     2.6170e+02
WINGSJ222758.58-303224.4              19.0500     2.6170e+02
WINGSJ222757.71-303423.6              20.0500     3.9048e+02
WINGSJ222650.31-301754.4              19.5500     3.5108e+02
PGC542796                             17.0900     2.7772e+02
WINGSJ222711.57-302124.7              19.7600     2.6767e+02
WINGSJ214625.68-434751.9              19.2700     6.4003e+02
WINGSJ222720.85-302508.0              19.5500     2.5834e+02
WINGSJ214726.62-434813.2              18.7800     2.6903e+02
WINGSJ222650.37-303306.2              18.9300     5.4702e+02
PGC2800221                            17.7000     8.5507e+02
WINGSJ222639.64-303952.0              19.3000     8.1997e+02
WINGSJ222821.98-302832.1              19.0300     3.4056e+02
WINGSJ214819.91-434148.6              19.2800     7.6666e+02
PGC541751                             16.1900     2.8379e+02
PGC714209                             17.0300     2.6230e+02
PGC141694                             16.6400     2.7227e+02
WINGSJ214645.45-440323.1              19.8000     1.0088e+03
WINGSJ214546.92-440138.2              19.5800     6.9952e+02
PGC3222324                            18.0800     2.6098e+02
WINGSJ214634.35-433739.9              19.8900     6.4565e+02
WINGSJ222816.50-303702.3              18.9300     1.0186e+03
WINGSJ222652.82-302024.1              19.8900     1.6535e+03
WINGSJ214757.98-440557.7              19.8000     1.8967e+03
WINGSJ214552.91-434911.2              19.8400     6.4387e+02
WINGSJ214650.73-434353.1              19.6800     2.7365e+02
WINGSJ214557.39-434220.4              19.6000     7.3621e+02
WINGSJ222806.41-303708.5              19.8700     2.5363e+02
WINGSJ222641.54-303537.0              18.9900     1.1673e+03
WINGSJ214548.44-435547.1              19.7500     8.5862e+02
WINGSJ214707.50-434531.0              18.9800     7.0437e+02
PGC3225637                            17.5400     3.0479e+02
WINGSJ222718.04-304236.1              19.9400     2.5107e+02
WINGSJ214817.04-434453.6              19.3000     1.1340e+03
WINGSJ214524.00-435151.8              18.3400     2.8445e+02
WINGSJ214528.31-435015.1              19.6500     6.4239e+02
WINGSJ214637.79-440132.5              19.3300     2.6903e+02
WINGSJ222721.18-302830.2              18.0700     6.1973e+02
WINGSJ214715.23-435908.4              18.7800     2.8171e+02
WINGSJ222714.74-304033.1              19.7100     2.5834e+02
WINGSJ214645.34-435549.0              19.8200     2.2367e+03
WINGSJ214559.83-434852.9              19.0700     2.7441e+02
WINGSJ222833.71-302110.9              19.8400     1.0854e+03
WINGSJ222800.74-304402.2              18.5900     2.5504e+02
WINGSJ214808.50-435156.2              19.6800     4.8686e+02
WINGSJ222746.65-302531.4              19.6200     2.7102e+02
WINGSJ222637.11-302040.0              19.7700     1.2028e+03
WINGSJ222649.47-303054.5              17.8700     2.2993e+02
WINGSJ214711.46-435039.8              19.2300     2.6965e+02
WINGSJ214751.81-435227.4              19.2900     6.4062e+02
PGC141701                             15.6300     2.7631e+02
WINGSJ214618.00-435603.1              19.7800     1.3428e+03
WINGSJ214531.71-434906.6              19.9800     1.0051e+03
WINGSJ214728.97-435234.3              18.8800     5.0652e+02
WINGSJ222817.33-302451.6              19.0200     2.3453e+02
WINGSJ214524.42-433739.4              18.2300     3.1089e+02
PGC3225622                            18.6300     2.7772e+02
WINGSJ214726.79-440455.4              19.4200     1.3861e+03
PGC141690                             15.2400     2.5165e+02
WINGSJ214539.83-440436.8              18.3000     6.4239e+02
WINGSJ222810.80-303637.2              18.8000     2.4843e+02
WINGSJ214551.70-435607.7              19.9900     1.7914e+03
WINGSJ222846.05-304452.7              19.3100     7.6243e+02
WINGSJ222819.43-304526.8              19.7700     2.4706e+02
PGC2800223                            17.7200     2.7977e+02
